"id","m_size", "n_size", "k_rank", "density", "lambda_u", "lambda_v", "last_epoch_mean", "last_epoch_std", "tot_time_mean","tot_time_std", "epoch_time_mean","epoch_time_std", "precision_mean",  "precision_std"
1,10,10,2,0.5,1,1,38,2.2361,0.029337,0.010773,0.00077231,0.00027817,0.50388,3.1048e-10
2,10,10,2,1,1,1,46.2,11.841,0.021357,0.004088,0.00047512,8.18e-05,0.38822,5.7612e-09
3,10,10,4,0.5,1,1,29,2.5495,0.013299,0.0016815,0.00045768,2.9645e-05,1.1065,8.2135e-08
4,10,10,4,1,1,1,25.2,2.6833,0.015764,0.0026585,0.00062555,7.6687e-05,1.0079,8.0819e-10
5,10,20,2,0.5,1,1,26.8,2.9496,0.0091474,0.0027248,0.00033661,7.6515e-05,0.29049,1.7119e-13
6,10,20,2,1,1,1,74.6,21.513,0.036239,0.018904,0.00046713,0.00012808,0.24985,3.0202e-05
7,10,20,4,0.5,1,1,32.8,3.9623,0.035281,0.010864,0.0010914,0.00038054,0.73844,4.7907e-11
8,10,20,4,1,1,1,49.4,6.0249,0.033603,0.015571,0.00069519,0.00036819,0.66143,2.7454e-09
9,20,10,2,0.5,1,1,35.2,3.2711,0.016822,0.0025794,0.00047629,3.2519e-05,0.31602,3.6738e-11
10,20,10,2,1,1,1,40,6.2048,0.025383,0.008028,0.00064055,0.00019595,0.26482,8.8682e-11
11,20,10,4,0.5,1,1,34.4,7.8294,0.025935,0.0030481,0.00076745,7.7069e-05,0.79384,1.6501e-10
12,20,10,4,1,1,1,57,10.512,0.027777,0.0025242,0.00049508,5.9559e-05,0.57375,1.5291e-09
13,20,20,2,0.5,1,1,25.8,2.5884,0.01358,0.004055,0.00052409,0.00013481,0.19619,8.0275e-13
14,20,20,2,1,1,1,40.4,4.3932,0.02252,0.0026232,0.00056017,6.301e-05,0.1694,2.2313e-10
15,20,20,4,0.5,1,1,34.8,5.5857,0.023624,0.0033897,0.00068371,8.419e-05,0.42591,1.1194e-11
16,20,20,4,1,1,1,73,16.508,0.031174,0.0047549,0.00043376,4.1924e-05,0.39032,5.5153e-09
